-0.35355335	0.0	-0.3535535	0.0	-3.5063504e-08	0.0	-3.2336317e-08	0.0	-1.8214552e-10	0.0	1.9380886e-08	0.0	-1.4581396e-08	0.0	-4.5649258e-09	0.0
-2.1592381e-05	0.0	2.159358e-05	0.0	-1.532618e-08	0.0	4.5313296e-08	0.0	-4.8639905e-08	0.0	4.6252907e-08	0.0	1.7485426e-08	0.0	-1.102701e-08	0.0
-0.3535534	0.0	-0.3535536	0.0	-6.411682e-08	0.0	-5.6974493e-08	0.0	1.2542458e-09	0.0	1.0760031e-08	0.0	5.5448126e-09	0.0	-1.7325068e-08	0.0
-1.7040293e-08	0.0	1.657827e-08	0.0	-9.4693515e-09	0.0	3.369366e-08	0.0	-5.8463705e-08	0.0	2.5676924e-08	0.0	-2.1134587e-09	0.0	-2.8247785e-08	0.0
0.3535533	0.0	0.35355347	0.0	3.1928998e-08	0.0	4.7354288e-08	0.0	1.6811719e-09	0.0	-5.130726e-08	0.0	4.619382e-08	0.0	-2.7595757e-09	0.0
-2.157272e-05	0.0	2.157317e-05	0.0	2.547589e-08	0.0	-4.7107907e-08	0.0	4.8626724e-08	0.0	-4.3216126e-08	0.0	-2.4314845e-08	0.0	9.546101e-09	0.0
2.2351742e-08	0.0	2.2351742e-08	0.0	3.6584589e-09	0.0	-4.957304e-09	0.0	-4.1873114e-09	0.0	2.7009353e-08	0.0	-5.08174e-08	0.0	3.5575628e-08	0.0
-7.246854e-09	0.0	8.061761e-09	0.0	-2.2649447e-08	0.0	4.730372e-08	0.0	-4.1337497e-08	0.0	1.8711196e-08	0.0	-3.993149e-09	0.0	-6.124365e-09	0.0
2.9802322e-08	0.0	2.9802322e-08	0.0	-4.7245674e-10	0.0	-3.1778704e-09	0.0	4.2741535e-09	0.0	1.9751953e-08	0.0	-5.4707463e-08	0.0	3.943841e-08	0.0
-1.0593794e-08	0.0	1.1554221e-08	0.0	-3.4032972e-08	0.0	6.277423e-08	0.0	-3.9857063e-08	0.0	2.0139549e-08	0.0	1.6862645e-08	0.0	-1.3327332e-08	0.0
-2.9802322e-08	0.0	-2.9802322e-08	0.0	-5.6923444e-09	0.0	8.5563885e-09	0.0	1.1379681e-08	0.0	-3.392608e-08	0.0	9.4770606e-08	0.0	-8.6834476e-08	0.0
2.4650944e-08	0.0	-2.4127075e-08	0.0	6.844867e-08	0.0	-7.086217e-08	0.0	5.052893e-08	0.0	-3.5558553e-08	0.0	2.034367e-09	0.0	-7.1422046e-09	0.0
-1.8626451e-08	0.0	-1.4901161e-08	0.0	2.0655136e-08	0.0	1.9244897e-08	0.0	4.274583e-09	0.0	2.4778688e-08	0.0	-3.5189345e-08	0.0	2.8888975e-08	0.0
2.6193447e-09	0.0	-2.6193447e-09	0.0	-4.255961e-08	0.0	2.6118887e-08	0.0	3.6129304e-08	0.0	5.7590004e-09	0.0	2.0131386e-08	0.0	6.351577e-08	0.0
-2.0489097e-08	0.0	-2.0489097e-08	0.0	3.5829178e-08	0.0	2.694351e-08	0.0	-3.933699e-09	0.0	3.3615e-10	0.0	-4.530708e-08	0.0	5.6221463e-08	0.0
-5.122274e-09	0.0	6.6356733e-09	0.0	-4.8401482e-08	0.0	2.2278602e-08	0.0	3.3362895e-08	0.0	-1.3031949e-09	0.0	5.6599347e-08	0.0	7.504484e-08	0.0
1.5742236e-08	0.0	1.5742236e-08	0.0	-1.8370082e-08	-0.0	-1.2843458e-08	-0.0	4.8440496e-09	0.0	-6.649143e-08	-0.0	6.89078e-08	0.0	-4.59322e-08	-0.0
2.306573e-09	0.0	-2.772234e-09	0.0	3.7884032e-08	0.0	-3.6693486e-08	0.0	-3.1366955e-08	0.0	2.0568057e-08	0.0	-3.077832e-08	0.0	-4.2849273e-08	0.0
