6.9938615e-06	-0.0	1.3561331e-05	-0.0
-6.7720416e-06	0.0	3.5012176e-06	0.0
-6.995382e-06	0.0	-1.3567787e-05	0.0
6.78554e-06	0.0	-3.4902798e-06	0.0
-6.990742e-06	0.0	-1.3551868e-05	0.0
-6.783879e-06	0.0	3.5086964e-06	0.0
1.3986111e-05	0.0	2.7118858e-05	0.0
-3.3994788e-06	0.0	1.7487818e-06	0.0
-1.398817e-05	0.0	-2.712333e-05	0.0
3.390336e-06	0.0	-1.7435593e-06	0.0
-1.398288e-05	0.0	-2.7114655e-05	0.0
-3.3858048e-06	0.0	1.7433869e-06	0.0
2.7974538e-05	0.0	5.4244272e-05	0.0
-1.6903546e-06	0.0	8.6987535e-07	0.0
-2.7976275e-05	0.0	-5.425379e-05	0.0
1.6891713e-06	0.0	-8.680013e-07	0.0
-2.7973294e-05	0.0	-5.423833e-05	0.0
-1.6953087e-06	0.0	8.689366e-07	0.0
5.5951088e-05	0.0	0.00010849217	0.0
-8.4728924e-07	0.0	4.37308e-07	0.0
-5.5933142e-05	0.0	-0.00010845917	0.0
8.454055e-07	0.0	-4.3466937e-07	0.0
-5.595762e-05	0.0	-0.00010850789	0.0
-8.5724093e-07	0.0	4.3939923e-07	0.0
0.000111895555	0.0	0.00021696865	0.0
-4.1046954e-07	0.0	2.0924305e-07	0.0
-0.00011188883	0.0	-0.00021695014	0.0
4.1933893e-07	0.0	-2.152344e-07	0.0
-0.00011191127	0.0	-0.00021700817	0.0
-4.322868e-07	0.0	2.2760285e-07	0.0
0.00022379743	0.0	0.0004339596	0.0
-2.1443111e-07	0.0	1.09502025e-07	0.0
-0.00022381736	0.0	-0.0004339848	0.0
2.1515895e-07	0.0	-1.1158006e-07	0.0
-0.00022378349	0.0	-0.0004339266	0.0
-2.2010843e-07	0.0	1.1310127e-07	0.0
0.00044760376	0.0	0.00086792005	0.0
-9.5050304e-08	0.0	4.7652488e-08	0.0
-0.00044763443	0.0	-0.0008679701	0.0
1.3617434e-07	0.0	-7.2161534e-08	0.0
-0.0004475974	0.0	-0.00086791004	0.0
-1.11244326e-07	0.0	5.3412705e-08	0.0
0.0008952193	0.0	0.0017358544	0.0
-5.1295295e-08	0.0	1.2774464e-08	0.0
-0.0008952215	0.0	-0.0017358533	0.0
6.19005e-08	0.0	-3.4240358e-08	0.0
-0.0008952159	0.0	-0.0017358494	0.0
-6.636675e-08	0.0	4.2410957e-08	0.0
0.0017904241	0.0	0.0034716935	0.0
-4.325873e-08	0.0	2.1010706e-08	0.0
-0.0017904304	0.0	-0.003471701	-0.0
3.518261e-08	0.0	-2.3367813e-08	0.0
-0.001790423	0.0	-0.003471701	0.0
-2.4912403e-08	0.0	1.49053e-08	0.0
0.0035808668	0.0	0.006943425	0.0
-5.4538205e-08	0.0	3.1760745e-08	0.0
-0.0035808827	0.0	-0.006943444	-0.0
-1.1335949e-08	0.0	4.8218034e-09	0.0
-0.0035808287	0.0	-0.0069433674	-0.0
1.7043966e-08	0.0	-1.402154e-08	0.0
0.0071617374	0.0	0.013886852	0.0
-5.7138138e-08	0.0	3.187497e-08	0.0
-0.007161732	0.0	-0.013886858	0.0
3.3254242e-08	0.0	-1.8078206e-08	-0.0
-0.007161717	0.0	-0.013886798	0.0
5.276637e-08	0.0	-3.408257e-08	0.0
0.014323444	0.0	0.027773634	0.0
-3.6936232e-08	0.0	3.4648956e-08	0.0
-0.014323421	0.0	-0.027773622	0.0
1.935721e-09	0.0	-3.1562404e-08	-0.0
-0.014323458	0.0	-0.027773682	-0.0
2.0269933e-08	0.0	9.284255e-09	-0.0
0.028646879	0.0	0.0555473	-0.0
-2.5242267e-08	0.0	2.5352604e-08	-0.0
-0.028646883	0.0	-0.055547312	-0.0
6.702349e-09	0.0	-3.743541e-08	-0.0
-0.02864688	0.0	-0.05554732	-0.0
6.357734e-09	0.0	1.35426514e-08	0.0
0.057293788	0.0	0.11109467	0.0
